type,oc_dt,oc_p1
案類,發生日期,發生地點
住宅竊盜,1090101,高雄市鳳山區
住宅竊盜,1090102,金門縣金沙鎮
住宅竊盜,1090102,新北市汐止區
住宅竊盜,1090102,台北市中正區
住宅竊盜,1090102,雲林縣虎尾鎮
住宅竊盜,1090102,基隆市七堵區
住宅竊盜,1090102,雲林縣斗六市
住宅竊盜,1090103,新北市新店區
住宅竊盜,1090103,台北市中正區
住宅竊盜,1090103,新北市永和區
住宅竊盜,1090103,新北市新莊區
住宅竊盜,1090103,雲林縣西螺鎮
住宅竊盜,1090103,花蓮縣吉安鄉
住宅竊盜,1090103,雲林縣斗南鎮
住宅竊盜,1090104,台北市中山區
住宅竊盜,1090104,台北市文山區
住宅竊盜,1090104,雲林縣虎尾鎮
住宅竊盜,1090104,彰化縣鹿港鎮
住宅竊盜,1090105,台北市松山區
住宅竊盜,1090105,新北市中和區
住宅竊盜,1090105,新北市蘆洲區
住宅竊盜,1090105,屏東縣萬丹鄉
住宅竊盜,1090106,新竹縣竹北市
住宅竊盜,1090106,台南市六甲區
住宅竊盜,1090106,台北市大同區
住宅竊盜,1090106,新竹市香山區
住宅竊盜,1090106,新竹市東區
住宅竊盜,1090107,台北市大安區
住宅竊盜,1090107,新北市樹林區
住宅竊盜,1090107,苗栗縣大湖鄉
住宅竊盜,1090107,南投縣南投市
住宅竊盜,1090108,台南市北門區
住宅竊盜,1090108,新北市深坑區
住宅竊盜,1090108,彰化縣伸港鄉
住宅竊盜,1090108,雲林縣大埤鄉
住宅竊盜,1090109,新北市新店區
住宅竊盜,1090109,南投縣埔里鎮
住宅竊盜,1090109,新北市新店區
住宅竊盜,1090109,新北市萬里區
住宅竊盜,1090109,台南市東山區
住宅竊盜,1090110,台南市學甲區
住宅竊盜,1090110,苗栗縣頭份市
住宅竊盜,1090110,南投縣埔里鎮
住宅竊盜,1090111,台中市南區
住宅竊盜,1090111,台北市南港區
住宅竊盜,1090111,苗栗縣後龍鎮
住宅竊盜,1090111,新北市新店區
住宅竊盜,1090112,雲林縣斗六市
住宅竊盜,1090112,台北市內湖區
住宅竊盜,1090112,新北市板橋區
住宅竊盜,1090112,台中市南區
住宅竊盜,1090112,台南市學甲區
住宅竊盜,1090112,台北市文山區
住宅竊盜,1090112,雲林縣虎尾鎮
住宅竊盜,1090113,台中市西屯區
住宅竊盜,1090113,雲林縣二崙鄉
住宅竊盜,1090113,台北市大安區
住宅竊盜,1090113,高雄市旗山區
住宅竊盜,1090114,台北市中正區
住宅竊盜,1090114,新北市三重區
住宅竊盜,1090114,新北市板橋區
住宅竊盜,1090115,新北市新店區
住宅竊盜,1090115,新北市新店區
住宅竊盜,1090115,新竹市東區
住宅竊盜,1090115,苗栗縣苑裡鎮
住宅竊盜,1090115,宜蘭縣壯圍鄉
